conversation_id,luhf_tag,escalation,total_turns,user_turns_before_escalation,total_user_turns,nlu_positive_count,nlu_neutral_count,nlu_negative_count,nlg_positive_count,nlg_neutral_count,nlg_negative_count,nlg_neg_intents,last_bot_intent,nlu_trajectory_index,nlg_trajectory_index,composite_trajectory_index,nlu_density_index,composite_density_index,adjusted_composite_index,last_turn_speaker,transfer_assumed_success,escalation_final_turn_proximity,early_escalation_but_luhf,pre_escalation_final4_score,final4_turns_composite_score,final4_score_with_length_penalty
0,not_luhf,not_escalation,19,9,9,3,5,1,0,10,0,,ask_additional_service,2,0,2,0.2222222222222222,0.10526315789473684,0.7734820469090024,nlu,False,False,False,-1,-1,-0.3867410234545012
1,not_luhf,not_escalation,22,9,9,3,6,0,0,11,2,"disambiguate_user_profile,transportation_type_unavailable",propose_date,3,-2,1,0.3333333333333333,0.045454545454545456,0.33287108369807955,nlu,False,False,False,1,1,0.33287108369807955
2,not_luhf,not_escalation,20,9,9,2,5,2,0,11,0,,transportation_of_device,0,0,0,0.0,0.0,0.0,nlg,False,False,False,-1,-1,-0.36787944117144233
3,luhf,not_escalation,29,13,13,6,3,4,0,15,1,disambiguate_user_profile,time_asked_unavailable_propose_new,2,-1,1,0.15384615384615385,0.034482758620689655,0.23457028809379762,nlg,False,False,False,0,0,0.0
4,luhf,not_escalation,19,8,8,2,3,3,1,9,1,disambiguate_user_profile,time_asked_unavailable_propose_new,-1,0,-1,-0.125,-0.05263157894736842,-0.3867410234545012,nlg,False,False,False,1,1,0.3867410234545012
5,not_luhf,not_escalation,29,13,13,5,4,4,1,14,1,disambiguate_user_profile,confirm_date_scheduled,1,0,1,0.07692307692307693,0.034482758620689655,0.23457028809379762,nlg,False,False,False,3,3,0.7037108642813928
6,not_luhf,not_escalation,22,10,10,6,4,0,0,11,1,disambiguate_user_profile,propose_date,6,-1,5,0.6,0.22727272727272727,1.6643554184903977,nlu,False,False,False,2,2,0.6657421673961591
7,luhf,not_escalation,20,8,8,4,2,2,0,9,3,"disambiguate_user_profile,failed_schedule_warning,failed_schedule_warning",failed_schedule_warning,2,-3,-1,0.25,-0.05,-0.36787944117144233,nlg,False,False,False,0,0,0.0
8,not_luhf,not_escalation,26,12,12,6,3,3,1,12,1,disambiguate_user_profile,confirm_date_scheduled,3,0,3,0.25,0.11538461538461539,0.8175953791020378,nlu,False,False,False,3,3,0.8175953791020378
9,not_luhf,not_escalation,25,11,11,4,5,2,1,13,0,,confirm_date_scheduled,2,1,3,0.18181818181818182,0.12,0.8595143905805702,nlg,False,False,False,2,2,0.5730095937203802
10,not_luhf,not_escalation,18,8,8,4,2,2,0,9,1,disambiguate_user_profile,ask_time_preference,2,-1,1,0.25,0.05555555555555555,0.4065696597405991,nlu,False,False,False,0,0,0.0
