conversation_id,luhf_tag,escalation,total_turns,user_turns_before_escalation,total_user_turns,nlu_positive_count,nlu_neutral_count,nlu_negative_count,nlg_positive_count,nlg_neutral_count,nlg_negative_count,nlg_neg_intents,last_bot_intent,nlu_trajectory_index,nlg_trajectory_index,composite_trajectory_index,nlu_density_index,composite_density_index,adjusted_composite_index,last_turn_speaker,transfer_assumed_success,escalation_final_turn_proximity,early_escalation_but_luhf,pre_escalation_final4_score,final4_turns_composite_score,final4_score_with_length_penalty
13,not_luhf,escalation,18,6,8,2,4,2,0,10,0,,ask_additional_service,0,0,0,0.0,0.0,0.0,nlg,False,False,False,0,-1,-0.4065696597405991
168,luhf,escalation,35,0,16,5,5,6,1,18,0,,ask_time_preference,-1,1,0,-0.0625,0.0,0.0,nlg,False,False,True,0,0,0.0
187,not_luhf,escalation,20,5,9,5,2,2,1,10,0,,confirm_change_schedule,3,1,4,0.3333333333333333,0.2,1.4715177646857693,nlu,True,False,False,0,3,1.103638323514327
289,not_luhf,escalation,27,9,12,5,4,3,0,15,0,,ask_time_preference,2,0,2,0.16666666666666666,0.07407407407407407,0.518480521291783,nlg,False,False,False,1,-1,-0.2592402606458915
388,not_luhf,escalation,18,7,8,3,4,1,0,10,0,,ask_additional_service,2,0,2,0.25,0.1111111111111111,0.8131393194811982,nlg,False,True,False,0,-1,-0.4065696597405991
649,luhf,escalation,28,0,12,3,4,5,1,14,1,disambiguate_user_profile,propose_earliest_time,-2,0,-2,-0.16666666666666666,-0.07142857142857142,-0.49319392788321287,nlg,False,False,True,0,0,0.0
749,luhf,escalation,28,1,12,5,5,2,1,14,1,disambiguate_user_profile,time_asked_unavailable_propose_new,3,0,3,0.25,0.10714285714285714,0.7397908918248193,nlg,False,False,False,0,2,0.49319392788321287
798,luhf,escalation,23,0,10,4,2,4,1,11,1,disambiguate_user_profile,ask_time_preference,0,0,0,0.0,0.0,0.0,nlg,False,False,True,0,0,0.0
917,not_luhf,escalation,20,0,9,5,3,1,2,8,1,disambiguate_user_profile,confirm_date_scheduled,4,1,5,0.4444444444444444,0.25,1.8393972058572117,nlu,True,False,False,0,3,1.103638323514327
994,not_luhf,escalation,19,0,8,3,3,2,1,9,1,disambiguate_user_profile,time_asked_unavailable_propose_new,1,0,1,0.125,0.05263157894736842,0.3867410234545012,nlg,False,False,False,0,1,0.3867410234545012
